spell_id	priority	skill_line_ids	name_en	rank_en	description_en	tooltip_en	name_zh	rank_zh	description_zh	tooltip_zh	notes
81884	all		Throw		Throws a weapon at an enemy, inflicting Physical damage.						
81885	all		Healing Wave		Calls upon Nature magic to heal an ally.						
81886	all		Lightning Bolt		Blasts an enemy with lightning, inflicting Nature damage.						
81887	all		Mana Burn		Hits an enemy with an anti-mana bolt. For each point of mana consumed by the bolt, the target takes $e1 damage.						
81888	all		Throw Dynamite		Inflicts Fire damage to all enemies in a selected area.						
81889	all		Frost Armor		Encases the caster in a layer of frost that lasts $d. The thick ice increases armor, slows melee attackers' movement, and increases the time between their attacks.	Armor increased by $s1.\nSlowing melee attackers' movement and attacks.					
81890	all		Fireball		Inflicts Fire damage to an enemy.						
81891	all		Chain Lightning		Strikes an enemy with a lightning bolt that arcs to another nearby enemy. The spell affects up to $x1 targets, inflicting greater Nature damage to each successive target.						
81892	all		Battle Shout		Increases the melee attack power of nearby party members for $d.	Melee attack power increased by $s1.					
81893	all		Claw	Rank 4	Claw the enemy, causing $s1 damage.						
81894	all		Throw		Throws a weapon at an enemy, inflicting Physical damage.						
81895	all		Throw		Throws a weapon at an enemy, inflicting Physical damage.						
81896	all		Head Crack		Reduces an enemy's Stamina for $d.	Stamina reduced by $s1.					
81897	all		Fire Nova		Inflicts Fire damage to nearby enemies.						
81898	all		Shoot		Shoots at an enemy, inflicting Physical damage.						
81899	all		Lightning Bolt		Blasts an enemy with lightning, inflicting Nature damage.						
81900	all		Healing Wave		Calls upon Nature magic to heal an ally.						
81901	all		Throw		Throws a weapon at an enemy, inflicting Physical damage.						
81902	all		Poison		Inflicts Nature damage to an enemy every $t1 sec. for $d.	Nature damage inflicted every $t1 sec.					
81903	all		Backstab		Inflicts bonus damage to an enemy, but only if attacking from behind.						
81904	all		Thunderclap	Rank 1	Inflicts Nature damage to nearby enemies, increasing the time between their attacks by $s3% and slowing their movement by $s2% for $d.	Time between attacks increased by $s3%.\nMovement speed reduced by $s2%.					
81905	all		Frost Armor		Encases the caster in a layer of frost that lasts $d. The thick ice increases armor, slows melee attackers' movement, and increases the time between their attacks.	Armor increased by $s1.\nSlowing melee attackers' movement and attacks.					
81906	all		Fireball		Inflicts Fire damage to an enemy.						
81907	all		Flamestrike		Calls down a pillar of flame, burning all enemies in a selected area and inflicting additional damage every $t2 sec. for $d.	Fire damage inflicted every $t2 sec.					
81908	all		Plague Cloud		Reduces Strength by $s1, Agility by $s2, and Intellect by $s3 for all enemies in a selected area for $d.	Strength reduced by $s1.\nAgility reduced by $s2.\nIntellect reduced by $s3.					
81909	all		Shoot		Shoots at an enemy, inflicting Physical damage.						
81910	all		Revenge		Instantly counterattack an enemy for $s1 damage. Revenge must follow a block, dodge, or parry.						
81911	all		Rend Flesh		Inflicts damage to an enemy every $t1 sec. for $d.	$s1 damage inflicted every $t1 sec.					
81912	all		Backstab		Inflicts bonus damage to an enemy, but only if attacking from behind.						
81913	all		Claw	Rank 5	Claw the enemy, causing $s1 damage.						
81914	all		Acid Spit		Inflicts Nature damage to an enemy.						
81915	all		Acid Spit		Inflicts Nature damage to an enemy.						
81916	all		Acid Splash		Inflicts Nature damage to nearby enemies every $t1 sec. for $d.	$s1 Nature damage inflicted every $t1 sec.					
81917	all		Rejuvenation		Heals an ally every $t1 sec. for $d.	Damage healed every $t1 sec.					
81918	all		Battle Shout		Increases the melee attack power of nearby party members for $d.	Melee attack power increased by $s1.					
81919	all		Demoralizing Shout		Reduces the melee attack power of nearby enemies for $d.	Melee attack power reduced.					
81920	all		Pummel		Pummels an enemy for $s1 damage and interrupts the spell being cast for $d.						
81921	all		Acid Splash		Inflicts Nature damage to nearby enemies every $t1 sec. for $d.	$s1 Nature damage inflicted every $t1 sec.					
81922	all		Lightning Bolt		Blasts an enemy with lightning, inflicting Nature damage.						
81923	all		Healing Wave		Calls upon Nature magic to heal an ally.						
81924	all		Backstab		Inflicts bonus damage to an enemy, but only if attacking from behind.						
81925	all		Shoot		Shoots at an enemy, inflicting Physical damage.						
81926	all		Poisoned Shot		Inflicts normal damage plus a bonus to an enemy, then additional Nature damage every $t1 sec. for $d.	$s1 Nature damage inflicted every $t1 sec.					
81927	all		Plague Cloud		Reduces Strength by $s1, Agility by $s2, and Intellect by $s3 for all enemies in a selected area for $d.	Strength reduced by $s1.\nAgility reduced by $s2.\nIntellect reduced by $s3.					
81928	all		Shadow Bolt		Hurls a bolt of dark magic at an enemy, inflicting Shadow damage.						
81929	all		Wild Regeneration		Heals the caster for $s1 damage every $t1 sec. for $d.	$s1 damage healed every $t1 sec.					
81930	all		Wild Regeneration		Heals the caster for $s1 damage every $t1 sec. for $d.	$s1 damage healed every $t1 sec.					
81931	all		Wild Regeneration		Heals the caster for $s1 damage every $t1 sec. for $d.	$s1 damage healed every $t1 sec.					
81932	all		Fatal Bite		Drains health from an enemy, healing the caster for up to twice that amount.						
81933	all		Lightning Bolt		Blasts an enemy with lightning, inflicting Nature damage.						
81934	all		Healing Wave		Calls upon Nature magic to heal an ally.						
81935	all		Head Crack		Reduces an enemy's Stamina for $d.	Stamina reduced by $s1.					
81936	all		Throw		Throws a weapon at an enemy, inflicting Physical damage.						
81937	all		Head Crack		Reduces an enemy's Stamina for $d.	Stamina reduced by $s1.					
81938	all		Head Crack		Reduces an enemy's Stamina for $d.	Stamina reduced by $s1.					
81939	all		Shoot		Shoots at an enemy, inflicting Physical damage.						
81940	all		Head Crack		Reduces an enemy's Stamina for $d.	Stamina reduced by $s1.					
81941	all		Unholy Frenzy		Increases an ally's attack speed by $s1% for $d., but also inflicts $s2 Nature damage to that ally every $t2 sec.	Attack speed increased by $s1%.\n$s2 Nature damage inflicted every $t2 sec.					
81942	all		Shadow Bolt		Hurls a bolt of dark magic at an enemy, inflicting Shadow damage.						
81943	all		Heal	Rank 1	Heal your target for $s1.						
81944	all		Frostmane Strength	Rank 1	Increases an ally's Strength by $s1 for $d.	Strength increased by $s1.					
81945	all		Frost Shock		Inflicts Frost damage to an enemy and reduces its movement speed for $d.	Reduced movement speed.					
81946	all		Garrote	Rank 4	Inflicts $s1 damage to an enemy every $t1 sec. for $d. when attacking from stealth.	$s1 damage inflicted every $t1 sec.					
81947	all		Shadow Bolt		Hurls a bolt of dark magic at an enemy, inflicting Shadow damage.						
81948	all		Frostbolt Volley		Inflicts $s2 Frost damage to nearby enemies, reducing their movement speed by $s1% for $d.	Movement speed reduced by $s1%.					
81949	all		Flame Spike		Calls down a pillar of flame, burning all enemies in a selected area for $s1 Fire damage and an additional $s2 damage every $t2 sec. for $d.						
