spell_id	priority	skill_line_ids	name_en	rank_en	description_en	tooltip_en	name_zh	rank_zh	description_zh	tooltip_zh	notes
6498	all		Feed Sarilus Passive								
6499	spellbook	185	Boiled Clams								
6500	spellbook	185	Goblin Deviled Clams								
6501	spellbook	185	Clam Chowder								
6507	all		Battle Roar	Rank 1	Increases the Physical damage dealt by nearby party members for $d.	Physical damage dealt is increased by $s1.					
6509	all		Gore Bladder		Target the dead Ravenous Jaws shark to collect its blood from the surrounding waters. Range is $r yards.						
6512	all		Detect Lesser Invisibility		Grants detect lesser invisibility for $d.	Detecting Lesser Invisiblity.					
6513	all		Resist Poison	Rank 1	Target is immune to poison for $d and is cured of any existing poisons.	Immune to poison.					
6514	all		Sharp Weapon +2	Rank 1	A razor edge increases your damage with this weapon by 2.						
6515	all		Sharp Weapon +3	Rank 1	A razor edge increases your damage with this weapon by 3.						
6516	all		Sharp Weapon +5	Rank 1	A razor edge increases your damage with this weapon by 5.						
6517	spellbook	164	Pearl-handled Dagger								
6518	spellbook	164	Iridescent Hammer								
6521	spellbook	197	Pearl-clasped Cloak								
6523	all		Phase Out Passive		Caster phases out of sight						
6524	all		Ground Tremor		Stuns nearby enemies, rendering them unable to move or attack for $d.	Stunned.					
6527	all		Unlocking		Unlocks a worn chest.						
6528	all		Quest - Purge Visual								
6529	all		Opening Benedict's Chest								
6530	all		Sling Dirt		Tosses dirt into an enemy's eyes, reducing its chance to hit by $s1% for $d.	Chance to hit reduced by $s1%.					
6531	all		Overseer's Poison			$s1 Nature damage inflicted every $t1 sec.					
6533	all		Net		Immobilizes an enemy for $d.	Immobilized.					
6535	all		Lightning Cloud		Creates a cloud of lightning that lasts $d., blasting all enemies in a selected area for Nature damage every $t2 sec.						
6536	all		Summon Deepmoss Matriarch								
6537	all		Call of the Forest								
6538	all		Dig Trap		Allows your scorpion to go into stealth, but it cannot move and it's sight range will be reduced. If it attacks from this position it will deal $s2 additional damage.						
6539	all		Dig Trap	Scorpion	Teaches your tamed scorpion the Dig Trap ability. Dig Trap allows the pet to enter stealth mode but will be rendered unable to move. If the scorpion attacks from this position it will deal additional damage.\nRequires: \nPet Level 22+						
6544	all		Heroic Leap		Leap through the air and slam down on all enemies within $52174a1 yards of the target area, causing $52174s3% weapon damage and stunning them for $52174d.  This ability will remove any Immobilzation effects when used.						
6545	all		Leap Target								
6546	spellbook	26	Rend	Rank 2	Wounds the target causing them to bleed for $o1 damage plus an additional ${0.00743*4*(($MWB+$mwb)/2+$AP/14*$MWS)} (based on weapon damage) over $d.	Bleeding for $s1 plus a percentage of weapon damage every $t1 seconds.					
6547	spellbook	26	Rend	Rank 3	Wounds the target causing them to bleed for $o1 damage plus an additional ${0.00743*5*(($MWB+$mwb)/2+$AP/14*$MWS)} (based on weapon damage) over $d.	Bleeding for $s1 plus a percentage of weapon damage every $t1 seconds.					
6548	spellbook	26	Rend	Rank 4	Wounds the target causing them to bleed for $o1 damage plus an additional ${0.00743*6*(($MWB+$mwb)/2+$AP/14*$MWS)} (based on weapon damage) over $d.	Bleeding for $s1 plus a percentage of weapon damage every $t1 seconds.					
6552	spellbook	256	Pummel	Rank 1	Pummel the target for $s2 damage.  It also interrupts spellcasting and prevents any spell in that school from being cast for $d.						
6554	spellbook	256	Pummel	Rank 2	Pummel the target for $s2 damage.  It also interrupts spellcasting and prevents any spell in that school from being cast for $d.						
6555	all		Pummel	Rank 3	Pummel the target for $s1 damage.  It also interrupts spellcasting and prevents any spell in that school from being cast for $d.						
6558	all		Evil Intellect	Rank 1		Intelligence increased by $s1.					
6560	spellbook	769	LeCraft Test Spell	Rank 1	Increases your haste by $s1%.	Haste increased by $s1%.  Wow!					
6562	spellbook	760	Heroic Presence	Racial Passive	Increases chance to hit with all spells and attacks by $s1% for you and all party members within $a1 yards.	Chance to hit increased by $s1%.					
6572	spellbook	257	Revenge	Rank 1	Instantly counterattack an enemy for $s1 damage and a high amount of threat.   Revenge must follow a block, dodge or parry.						
6574	spellbook	257	Revenge	Rank 2	Instantly counterattack an enemy for $s1 damage and a high amount of threat.   Revenge must follow a block, dodge or parry.						
6576	all		Intimidating Growl		Target creature becomes frightened and runs away at an increased speed for $d						
6580	all		Pierce Ankle		Knocks down an enemy and reduces it's movement speed for 6 sec.						
6581	all		Pierce Ankle								
6584	all		Jin'Zil's Curse								
6587	all		Silithid Creeper Egg								
6588	all		Summon Silithid Grub								
6589	all		Silithid Swarm		Summons a Silithid Swarm.						
6590	all		Silithid Swarm Passive								
6591	all		Stance Rage Effect (+3)								
6592	all		Stance Rage (+5 Def)								
6593	all		Stance Rage (+5 Off)								
6594	all		Stance Rage Effect (+5)								
6595	all		Exploit Weakness		Inflicts normal damage plus $s1 on an enemy, but only if attacking from behind.						
6598	all		Savannah Cub		Summons $s1 $lSavannah Cub:Savannah Cubs; to accompany the caster until dismissed.						
6600	all		Salt Flats Racer Speed								
6601	all		Salt Flats Racer Slow								
6602	all		Salt Flats Racer Normal								
6603	spellbook	183	Auto Attack		Automatically attacks a target in melee with an equipped weapon until cancelled.						
6605	all		Terrifying Screech		Causes nearby enemies to flee in fear for $d. Movement speed reduced by $s2%.	Fleeing in fear.\nMovement speed reduced by $s2%.					
6606	all		Self Visual - Sleep Until Cancelled  (DND)								
6607	all		Lash		Stuns an enemy for $d. and has a chance to disarm.	Stunned.					
6608	all		Dropped Weapon			Not wielding a weapon.					
6609	all		Filling		Fill the Jade Phial at the Starbreeze moonwell.						
6610	all		Filling		Fill the Tourmaline Phial at the Pools of Arlithrien moonwell.						
6611	all		Filling		Fill the Amethyst Phial at the Oracle Glade moonwell.						
6612	all		Rage		Increases Rage by 20 to 40.						
6613	all		Great Rage		Increases Rage by 30 to 60.						
6614	all		Cowardly Flight		You run in fear at a high speed from a nearby enemy in a random direction.   If there are no enemies nearby you stand frozen in fear.						
6615	all		Free Action		Makes you immune to Stun and Movement Impairing effects for the next $d.   Does not remove effects already on the imbiber.	Free Action.					
6617	spellbook	171	Rage Potion								
6618	spellbook	171	Great Rage Potion								
6620	all		Place Toxic Fogger		Place near the Venture Co. Airport						
6624	spellbook	171	Free Action Potion								
6626	all		Set NG-5 Charge (Blue)		Sets NG-5 Charge (Blue)						
6627	all		Remote Detonate		Detonates NG-5 Charge (Red) after it's been set.						
6629	all		Summon Deepmoss Baby								
6630	all		Set NG-5 Charge (Red)		Sets NG-5 Charge (Red)						
6634	all		Phasing Stealth		Puts the caster in stealth mode for $d.	Stealthed.					
6636	all		Wagon Explode								
6645	all		Snare Poison								
6647	all		Fast Acting Poison	Rank 1	A fast acting poison that does $s1 damage to the target.						
6648	spellbook	777	Chestnut Mare		Summons and dismisses a rideable Chestnut Mare. This mount increases speed depending on your Riding Skill.	Increases speed depending on your Riding Skill.					
6650	all		Instant Toxin		Coats a sword or dagger with poison that lasts for 30 minutes.\nEach strike has a chance of poisoning the enemy which instantly inflicts 10-30 damage.						
6653	spellbook	777	Dire Wolf		Summons and dismisses a rideable Dire Wolf. This mount increases speed depending on your Riding Skill.	Increases speed depending on your Riding Skill.					
6654	spellbook	777	Brown Wolf		Summons and dismisses a rideable Brown Wolf. This mount increases speed depending on your Riding Skill.	Increases speed depending on your Riding Skill.					
6655	all		Force Target - Bow								
6656	all		Remote Detonate		Detonates NG-5 Charge (Blue) after it's been set.						
6657	all		Summon Serpent Messenger								
6658	all		Opening								
6660	all		Shoot		Shoots at an enemy, inflicting Physical damage.						
6661	spellbook	165	Barbaric Harness								
6664	all		Survival Instinct		Stuns an enemy and attempts to run away causing the enemy to lose interest in attacking the cat.						
6668	all		Red Firework		Shoots a firework into the air that bursts into a thousand red stars.						
6669	all		Survival Instinct		Runs away from an enemy						
6671	all		Create Scroll								
6672	all		Toxic Contagion								
6673	spellbook	256	Battle Shout	Rank 1	The warrior shouts, increasing the melee attack power of all raid and party members within $a1 yards by $s1.  Lasts $d.	Increases your melee attack power by $s1.					
6677	all		Silithid Swarm Call								
6685	all		Piercing Shot		Shoots at an enemy, inflicting normal damage and reducing the enemy's armor by $s2 for $d.	Armor reduced by $s2.					
6686	spellbook	197	Red Linen Bag								
6688	spellbook	197	Red Woolen Bag								
6690	spellbook	197	Lesser Wizard's Robe								
6692	spellbook	197	Robes of Arcana								
6693	spellbook	197	Green Silk Pack								
6695	spellbook	197	Black Silk Pack								
6700	all		Dimensional Portal		Teleports Arugal to his lair.						
6702	spellbook	165	Murloc Scale Belt								
6703	spellbook	165	Murloc Scale Breastplate								
6704	spellbook	165	Thick Murloc Armor								
6705	spellbook	165	Murloc Scale Bracers								
6711	all		Pathfinding	Rank 1	Increases the party's movement speed by $s1% for $d.	Movement speed increased by $s1%.					
6713	all		Disarm		Disarms an enemy, forcing it to stop wielding its weapon for $d.	Not wielding a weapon.					
6714	all		Test of Faith								
6716	all		Test of Faith			Teleporting					
6717	all		Place Lion Carcass		Place upon the Flame of Uzel.						
6718	all		Phasing Stealth								
6719	all		[PH] Teleport to Theramore		Sends player to Auberdine						
6724	all		Light of Elune	Rank 1	Grants immunity from all damage and spells for $d.	Immune to damage and spells.					
6725	all		Flame Spike		Calls down a pillar of flame, burning all enemies in a selected area for $s1 Fire damage and an additional $s2 damage every $t2 sec. for $d.						
6726	all		Silence		Silences an enemy, preventing it from casting spells for $d.	Cannot cast spells.					
6727	all		Poison Mushroom		Don't eat me.						
6728	all		Enveloping Winds	Rank 1	Surrounds an enemy with a cyclone for up to $d. If the target takes any damage, it will break free of the imprisoning winds.	Stunned.					
6730	all		Head Butt		Stuns an enemy, rendering it unable to move or attack for $d.	Stunned.					
6741	all		Identify Brood								
6742	all		Bloodlust		Increases an ally's attack speed by $s1% for $d.	Attack speed increased by $s1%.					
6743	all		Horse Riding		Allows the player to ride a horse.						
6744	all		Ram Riding		Allows the player to ride a ram.						
6745	all		Tiger Riding		Allows the player to ride a tiger.						
6746	all		Wolf Riding		Allows the player to ride a wolf.						
6747	all		Test Combo								
6748	all		Test Finishing								
6749	all		Wide Swipe			Stunned.					
6750	all		Wide Swipe Passive								
6751	all		Weak Poison		Inflicts $s1 Nature damage to an enemy every $t1 sec. for $d.	$s1 Nature damage inflicted every $t1 sec.					
6752	all		Weak Poison Proc		Adds a chance to poison a target on a successful hit.						
6753	all		Backhand		You're fresh!						
6754	all		Slap!		Stun the target for $d.						
6755	all		Tell Joke		Tells a funny joke						
6756	spellbook	573	Mark of the Wild	Rank 3	Increases the friendly target's armor by $s1 and all attributes by $s2 for $d.	Increases armor by $s1 and all attributes by $s2.					
6757	all		Create House (TEST)								
6758	all		Party Fever		The ultimate party favor!						
6759	all		Party Fever Effect		Feeling funky!						
6760	spellbook	253	Eviscerate	Rank 2	Finishing move that causes damage per combo point:\n   1 point  : ${$m1+($b1*1)+$AP*0.03}-${$M1+($b1*1)+$AP*0.03} damage\n   2 points: ${$m1+($b1*2)+$AP*0.06}-${$M1+($b1*2)+$AP*0.06} damage\n   3 points: ${$m1+($b1*3)+$AP*0.09}-${$M1+($b1*3)+$AP*0.09} damage\n   4 points: ${$m1+($b1*4)+$AP*0.12}-${$M1+($b1*4)+$AP*0.12} damage\n   5 points: ${$m1+($b1*5)+$AP*0.15}-${$M1+($b1*5)+$AP*0.15} damage						
6761	spellbook	253	Eviscerate	Rank 3	Finishing move that causes damage per combo point:\n   1 point  : ${$m1+($b1*1)+$AP*0.03}-${$M1+($b1*1)+$AP*0.03} damage\n   2 points: ${$m1+($b1*2)+$AP*0.06}-${$M1+($b1*2)+$AP*0.06} damage\n   3 points: ${$m1+($b1*3)+$AP*0.09}-${$M1+($b1*3)+$AP*0.09} damage\n   4 points: ${$m1+($b1*4)+$AP*0.12}-${$M1+($b1*4)+$AP*0.12} damage\n   5 points: ${$m1+($b1*5)+$AP*0.15}-${$M1+($b1*5)+$AP*0.15} damage						
6762	spellbook	253	Eviscerate	Rank 4	Finishing move that causes damage per combo point:\n   1 point  : ${$m1+($b1*1)+$AP*0.03}-${$M1+($b1*1)+$AP*0.03} damage\n   2 points: ${$m1+($b1*2)+$AP*0.06}-${$M1+($b1*2)+$AP*0.06} damage\n   3 points: ${$m1+($b1*3)+$AP*0.09}-${$M1+($b1*3)+$AP*0.09} damage\n   4 points: ${$m1+($b1*4)+$AP*0.12}-${$M1+($b1*4)+$AP*0.12} damage\n   5 points: ${$m1+($b1*5)+$AP*0.15}-${$M1+($b1*5)+$AP*0.15} damage						
6766	all		Test of Lore								
6767	all		Mark of Shame		Marks the player with a purple arrow. Lasts for 10 minutes.	You have failed the Test of Lore! You carry the Mark of Shame! For shame!!					
6768	spellbook	38	Feint	Rank 2	Performs a feint, causing no damage but lowering your threat by a medium amount, making the enemy less likely to attack you.						
6770	spellbook	39	Sap	Rank 1	Incapacitates the target for up to $d.  Must be stealthed.  Only works on Humanoids that are not in combat.    Any damage caused will revive the target.  Only 1 target may be sapped at a time.	Sapped.					
6774	spellbook	253	Slice and Dice	Rank 2	Finishing move that increases melee attack speed by $s2% and causing your Bleed damage to increase the duration of Slice and Dice by 1 second.  Lasts longer per combo point:\n   1 point  : $?s14165[10]?s14166[11]?s14167[13][9] seconds\n   2 points: $?s14165[14]?s14166[16]?s14167[17][12] seconds\n   3 points: $?s14165[17]?s14166[19]?s14167[22][15] seconds\n   4 points: $?s14165[21]?s14166[23]?s14167[26][18] seconds\n   5 points: $?s14165[24]?s14166[27]?s14167[30][21] seconds	Melee attack speed increased by $s2%.					
6777	spellbook	777	Gray Ram		Summons and dismisses a rideable Gray Ram. This mount increases speed depending on your Riding Skill.	Increases speed depending on your Riding Skill.					
6778	spellbook	573	Healing Touch	Rank 6	Heals a friendly target for $s1.						
6780	spellbook	574	Wrath	Rank 6	Causes $s1 Nature damage to the target.						
6783	spellbook	134	Prowl	Rank 2	Allows the Druid to prowl around, but reduces your movement speed by $s2%.  Lasts until cancelled.	Stealthed.  Movement speed slowed by $s2%.					
6785	spellbook	134	Ravage	Rank 1	Ravage the target, causing $s2% damage plus 147 to the target.  Must be prowling and behind the target.  Awards $s3 combo $lpoint:points;.						
