spell_id	priority	skill_line_ids	name_en	rank_en	description_en	tooltip_en	name_zh	rank_zh	description_zh	tooltip_zh	notes
39977	all		Remove Impaling Spine								
39978	all		Raven God Summon Beams								
39979	all		Legion Ring - Spawn Lightning		Green lightning beam						
39980	all		Blade's Edge Ogre Brew Keg		The last drink you'll ever need!	Wasted					
39981	all		Armor Penetration 77		Increases armor penetration rating by $s1.	Increases armor penetration rating by $s1.					
39982	all		Increased Hit Rating 20		Increases your hit rating by $s1.						
39983	all		Internal Shake Camera								
39984	all		Cast Spell 1 on Master								
39985	all		Legion Ring - Charm - North 01 (Possess)								
39986	all		Summon Netherwing Ally								
39987	all		Block Value 84		Increases the block value of your shield by $s1.						
39988	all		Increase Healing 108		Increases spell power by $s1.						
39989	all		Call Lightning		Deals $s1 Nature damage.						
39990	all		Red Lightning Bolt								
39991	all		Four Dragons: Periodic Aura		Periodic aura that the knockdown dragon is pulsing.  If a character gets this aura, they fire a dummy spell back at the dragon, who is listening for it on their creature action triggers.						
39992	all		Needle Spine Targeting		Picks targets for Needle Spine.						
39993	all		Simon Game START timer, (DND)								
39994	all		Skettis Dismount								
39995	all		Four Dragons: Dummy to Dragon		Dummy sent to the Knockdown Dragon when the character is hit by the Four Dragons: Periodic Aura spell (id: 39991).						
39996	all		40yd Dummy								
39997	spellbook	165	Boots of Shackled Souls								
39998	all		Four Dragons: Dismount		The character casts this spell on themself when they hear the ...						
39999	all		Simon Game Button Pressed								
40000	all		Bracers of Shackled Souls								
40001	spellbook	165	Greaves of Shackled Souls								
40002	spellbook	165	Waistguard of Shackled Souls								
40003	spellbook	165	Redeemed Soul Moccasins								
40004	spellbook	165	Redeemed Soul Wristguards								
40005	spellbook	165	Redeemed Soul Legguards								
40006	spellbook	165	Redeemed Soul Cinch								
40011	all		Obsidian Echo								
40015	all		DB ME								
40017	all		Eye Blast								
40018	all		Eye Blast		A beam of Illidan's magic sears the ground, igniting it and dealing $s1 Shadow damage to anything in its path.						
40019	all		Birmingham Tools Test		Propagation Test						
40020	spellbook	197	Soulguard Slippers								
40021	spellbook	197	Soulguard Bracers								
40022	all		Four Dragons: Aggro Check		If hit with the Four Dragons: Periodic Aura (id: 39991), and thereby this spell, the character is forced cast the Four Dragons: Dummy to Dragon spell (id: 39995).						
40023	spellbook	197	Soulguard Leggings								
40024	spellbook	197	Soulguard Girdle								
40029	all		Demon Fire								
40030	all		Demon Fire								
