spell_id	priority	skill_line_ids	name_en	rank_en	description_en	tooltip_en	name_zh	rank_zh	description_zh	tooltip_zh	notes
71961	all		Heroic Leap		Leap through the air and slam down on all enemies within $52174a1 yards of the target area, stunning them for $52174d.						
71962	all		Presence of the Darkfallen		The presence of other members of the pack increases damage done by $s1% to all members of the pack within $a1 yards.	Increases damage done by $s1%.					
71963	all		Presence of the Darkfallen		The presence of other members of the pack increases damage done by $s1% to all members of the pack within $a1 yards.	Increases damage done by $s1%.					
71964	all		Presence of the Darkfallen		The presence of other members of the pack increases damage done by $s1% to all members of the pack within $a1 yards.	Increases damage done by $s1%.					
71965	all		Rain of Chaos		Calls down a molten rain, burning all enemies in a selected area for $s2 Chaos damage every $t2 sec. for $d.	$s2 Chaos damage inflicted every $t2 sec.					
71966	all		Unstable Experiment		Professor Putricide begins to peform a wicked experiment on you all!	Professor Putricide begins to peform a wicked experiment on you all!					
71967	all		Unstable Experiment		Professor Putricide begins to peform a wicked experiment on you all!	Professor Putricide begins to peform a wicked experiment on you all!					
71968	all		Unstable Experiment		Professor Putricide begins to peform a wicked experiment on you all!	Professor Putricide begins to peform a wicked experiment on you all!					
71970	all		Nightmare Cloud								
71971	all		Hittin' Ya Proc								
71972	all		Hittin' Ya Effect								
71977	all		Summon Nightmare Portal								
71986	all		Nightmare Portal Visual (Pre-effect)								
71987	all		Summon Nightmare Portal								
71988	all		Vile Fumes		Sprays an enemy with vile fumes, incapacitating it for $d. Any damage caused will revive the target.	Incapacitated and reeking.					
71993	all		Frozen Mallet		Attacks have a chance to apply Frostbite! Frostbite inflicts $72004s1 damage every $72004t1 sec for $72004d.	Attacks have a chance to apply Frostbite!					
71994	all		Nightmare Portal Visual								
71998	all		Ace at the Ruins of Vashj'elan: Quest Invisibility 01								
72004	all		Frostbite		The Frostbite inflicts $s1 Frost damage every $t1 sec and reduces move speed by $s2% for $d.	Inflicts $s1 Frost damage every $t1 sec.\nReduces movement speed by $s2%.					
72005	all		Deathchill Bolt		Deals $s1 Shadowfrost damage to an enemy target.						
72006	all		Shadow Cleave		Inflicts $s1 Shadow damage to enemies in front of the attacker.						
72007	all		Frostbolt		Inflicts $s1 Frost damage to an enemy and reduces its movement speed by $s2% for $d.	Reduced movement speed.					
72008	all		Shadow Bolt		Inflicts $s1 Shadow damage to an enemy.						
72010	all		Vengeful Blast		Inflicts $s1 Shadowfrost damage to an enemy.						
72011	all		Vengeful Blast		Inflicts $s1 Shadowfrost damage to all enemies within $a1 yards of the target.						
72012	all		Vengeful Blast		Inflicts $s1 Shadowfrost damage to all enemies within $a1 yards of the target.						
72015	all		Frostbolt Volley		Inflicts $s1 Frost damage to nearby enemies and drains $s3 mana, reducing their movement speed by $s2% for $d.	Movement speed reduced by $s2%.					
